jid,ret,retobs,Average,a,b,c,d,e,f,g,h,i,j,k,l,m
       Elissa Cadish   ,89,248,4.2,4.3,4.2,4.0,4.1,4.3,4.2,4.2,4.1,4.1,4.4,,,
       Mark Gibbons    ,83,178,3.8,3.8,3.7,3.6,3.5,3.8,3.9,3.9,3.8,3.7,4.1,,,
       James Hardesty  ,66,193,3.6,3.9,3.4,3.3,3.5,3.6,3.6,3.7,3.6,3.4,3.7,,,
       Ron Parraguirre ,77,152,3.5,3.4,3.4,3.4,3.4,3.6,3.6,3.6,3.5,3.5,3.8,,,
       Kristina Pickering      ,75,218,3.8,4.1,3.8,3.7,3.8,3.8,3.8,3.9,3.7,3.7,3.9,,,
       Abbi Silver     ,65,226,3.5,3.7,3.5,3.4,3.4,3.5,3.7,3.7,3.6,3.3,3.4,,,
       Lidia Stiglich  ,80,181,3.7,3.8,3.5,3.4,3.5,3.8,3.7,3.8,3.6,3.7,4.0,,,
       Jerry Tao       ,62,177,3.6,3.8,3.5,3.5,3.5,3.6,3.7,3.6,3.6,3.5,3.8,,,
       Michael Gibbons ,80,74,3.5,3.4,3.5,3.5,3.5,3.7,3.5,3.6,3.4,3.6,3.8,,,
       Bonnie Bulla    ,62,130,3.6,4.0,3.6,3.4,3.6,3.7,3.7,3.7,3.7,3.4,3.4,,,
       Valerie Adair   ,81,161,3.9,4.1,3.8,3.8,3.7,4.1,4.2,4.1,3.9,3.7,3.9,4.1,4.0,3.9
       Nancy Allf      ,85,206,4.2,4.2,4.0,3.8,4.0,4.2,4.3,4.3,4.1,4.0,4.5,4.4,4.3,4.2
       Rob Bare        ,67,261,3.8,3.9,3.7,3.4,3.6,4.0,3.9,3.8,3.8,3.7,4.3,4.2,3.8,3.9
       Linda Bell      ,76,206,3.9,4.0,3.7,3.7,3.8,4.0,4.1,4.1,4.0,3.9,4.0,4.1,3.9,3.9
       Kenneth Cory    ,74,187,4.0,4.0,3.8,3.7,3.8,4.2,4.1,4.1,3.9,4.1,4.4,4.2,3.9,4.1
       Jim Crockett    ,67,226,3.8,4.1,3.7,3.5,3.7,3.8,3.8,3.8,3.7,3.6,3.8,4.1,3.6,3.8
       Kathleen Delaney        ,73,233,4.0,4.1,3.9,3.6,3.8,4.2,4.3,4.1,4.1,4.0,4.3,4.3,3.4,4.0
       Mark Denton     ,87,193,4.2,4.1,4.0,3.9,3.9,4.4,4.3,4.3,4.2,4.0,4.5,4.3,4.1,4.2
       Kerry Earley    ,76,157,3.8,3.8,3.7,3.5,3.6,3.9,3.9,3.9,3.9,3.8,4.0,4.0,3.6,3.8
       Carolyn Ellsworth       ,44,171,3.1,3.6,2.9,2.9,3.1,3.1,3.2,3.3,3.2,2.9,2.8,3.5,2.9,3.2
       Adriana Escobar ,62,164,3.7,3.5,3.5,3.3,3.3,4.0,3.9,3.8,3.8,3.8,4.2,3.9,3.4,3.8
       Elizabeth Gonzalez      ,73,271,4.0,4.4,3.9,3.8,4.0,4.0,4.1,4.1,4.0,3.6,3.7,4.2,4.2,3.9
       Joe Hardy Jr    ,77,223,3.9,4.0,3.9,3.6,3.7,4.0,4.0,4.0,3.9,3.8,4.2,4.2,3.8,3.9
       Douglas Herndon ,85,194,4.3,4.4,4.3,4.2,4.3,4.2,4.2,4.2,4.1,4.1,4.2,4.5,4.4,4.3
       Ron Israel      ,46,245,3.2,3.1,2.9,2.8,2.9,3.4,3.6,3.6,3.5,3.2,3.1,3.2,3.3,3.3
       Eric Johnson    ,64,166,3.6,3.8,3.5,3.3,3.5,3.8,3.8,3.6,3.7,3.5,3.6,3.9,3.2,3.7
       Susan Johnson   ,68,244,3.7,3.9,3.7,3.5,3.7,3.8,3.7,3.7,3.6,3.6,3.7,4.0,3.8,3.8
       Tierra Jones    ,80,190,4.0,4.1,3.9,3.8,3.9,4.1,4.1,4.1,3.9,3.8,4.1,4.3,4.3,4.1
       David Jones     ,85,142,4.0,4.1,3.9,3.8,3.9,4.2,3.8,3.8,3.8,3.9,4.0,4.2,4.3,4.1
       Mary Kay Holthus        ,59,111,3.5,3.3,3.3,3.2,3.3,3.6,3.6,3.8,3.8,3.5,3.7,3.6,3.6,3.6
       William Kephart ,55,197,3.4,3.5,3.2,3.1,3.2,3.4,3.4,3.5,3.4,3.2,3.3,3.7,3.6,3.4
       Joanna Kishner  ,61,212,3.6,3.9,3.6,3.4,3.5,3.8,3.7,3.7,3.6,3.4,3.3,4.0,3.4,3.5
       Michelle Leavitt        ,63,199,3.5,3.6,3.4,3.3,3.4,3.5,3.7,3.7,3.6,3.3,3.5,3.5,3.7,3.5
